File	Type	Individual	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15	x16	y16	x17	y17	x18	y18	x19	y19	x20	y20	x21	y21	x22	y22	x23	y23	x24	y24
49_186.txt	F2	186	15.5938	18.4792	16.0052	15.0052	20.724	12.2552	21.4531	9.9219	18.9844	10.1302	16.5052	12.8594	17.8802	10.026	17.1927	7.1927	15.1927	9.0781	14.776	12.099	14.7656	9.2865	13.1302	6.724	11.9323	9.5156	12.6823	12.5573	10.849	9.6719	8.026	8.5677	8.5052	11.3281	10.8698	13.2656	7.9635	11.3802	5.1615	12.2448	7.1406	14.1302	9.974	14.7344	12.0781	15.1302	11.6302	17.9427
49_187.txt	F2	187	15.7188	17.3229	16.1615	13.526	23.7344	10.526	24.9115	7.5677	21.776	7.9219	18.651	10.4115	21.2031	7.1719	21.7969	4.2969	18.8906	5.3177	16.5677	9.151	18.1927	4.8281	17.5573	2.4323	15.3906	4.099	14.3906	8.4531	13.7865	4.0885	12.0156	1.8698	10.7969	4.5781	11.8073	8.5781	9.4323	5.224	6.2552	4.0156	6.651	7.1094	9.7552	9.9323	12.6302	12.9115	10.9531	15.776
49_188.txt	F2	188	16.1875	13.125	14.3802	9.3385	20.3073	5.9844	20.8698	3.1615	18.0781	3.7031	15.6094	6.1823	16.401	2.8073	15.2031	0.0677	13.276	2.2031	12.8385	5.9219	12.2135	2.526	10.1094	0.4115	9.3073	3.2865	10.2031	6.4948	7.8281	3.9323	4.8281	3.4427	5.3594	6.0469	8.1406	8.4635	4.8073	7.3385	1.9635	8.3594	4.0677	10.651	7.5156	11.1302	11.1094	10.8385	11.3385	14.4948
49_189.txt	F2	189	18.5833	10.9167	14.1823	9.5469	11.7969	14.3802	9.6823	15.651	9.6406	13.4115	11.7344	10.7344	9.2969	12.1302	6.6198	11.599	8.0885	9.724	10.8073	8.9115	7.7344	8.9115	6.0469	7.4948	7.9844	6.5156	10.9115	6.8698	7.9323	5.6198	6.8073	3.3177	9.3073	3.2135	11.526	4.4427	9.8385	2.8385	9.5052	0.4635	11.8698	1.3177	13.5052	3.5365	15.2135	6.3385	19.5885	8.0052
49_190.txt	F2	190	12.8438	13.75	11.9844	11.0365	5.6198	12.776	2.8177	11.5156	5.1302	9.8594	9.1198	9.901	5.5052	9.151	3.9948	7.5156	6.2135	6.6094	10.1719	8.1198	7.4531	5.4844	7.0052	2.7865	9.6406	3.4323	11.9323	6.6302	10.5781	3.0156	11.5573	0.0052	13.6615	2.349	14.151	5.9427	15.0573	2.5885	17.5677	0.724	17.9844	3.5469	16.5573	6.3698	14.4427	9.3906	16.7865	11.5677
49_191.txt	F2	191	10.875	13.4688	13.151	10.3906	16.901	11.4844	18.9531	10.6719	17.0781	9.6094	15.1719	9.3385	17.4323	8.3906	18.2656	6.5677	16.401	6.7135	14.3385	7.8281	15.5781	6.151	15.9323	4.3177	14.1615	4.974	12.849	6.8177	13.6198	4.3906	12.9531	2.2031	11.5156	3.8906	11.099	5.974	10.474	3.7448	8.8802	2.276	8.2656	4.2865	9.099	6.276	10.0781	8.5052	7.8073	11.4219
49_192.txt	F2	192	20.2396	14.5104	18.8073	11.2969	24.8594	7.5677	25.1615	4.9427	22.3073	5.276	20.1406	7.8802	20.9427	5.3281	19.9948	2.1927	17.7448	4.4427	17.4948	6.9948	17.4635	3.8802	15.4948	1.6823	14.1615	4.1927	14.7135	7.1823	13.0052	4.2656	9.9844	3.6615	10.1823	6.5469	12.5885	8.9948	9.974	7.6094	6.9531	8.4115	8.6198	10.8385	11.4948	11.5573	15.2031	12.0677	14.9323	15.1406
49_194.txt	F2	194	16	15.7917	15.6198	11.8385	21.4115	8.0677	22.099	5.5885	19.724	6.0573	17.026	8.5781	18.7865	5.0156	18.0052	2.4427	15.9115	4.0677	15.1302	7.7865	15.4531	3.7344	14.0156	1.526	12.6302	3.8698	13.0052	7.776	11.7656	4.4427	9.5156	2.8177	9.2969	5.6406	11.0677	8.5365	8.6198	6.0677	6.2552	5.5677	6.8698	8.0365	9.8281	10.0677	12.6094	11.9844	11.8802	15.4844
49_195.txt	F2	195	10.8438	15.8438	12.7552	12.151	7.1094	6.7656	7.0365	4.8073	9.0052	4.9635	12.2135	9.349	11.4323	5.0469	12.4219	2.2031	14.224	4.5573	14.4323	8.8906	15.3594	4.3385	17.1719	2.4219	18.2552	4.8802	16.3177	9.4531	18.5573	5.7135	20.9635	4.4531	20.9323	7.3802	17.6719	11.0052	21.6406	9.3281	24.349	9.8594	23.0156	11.5469	18.7344	12.7969	15.901	13.599	15.0885	17.0781
49_196.txt	F2	196	15.6771	16.7292	15.3802	12.8698	22.224	13.2552	24.8698	11.0573	21.8594	9.6302	18.2344	10.526	21.026	8.099	21.7135	4.7344	18.4427	5.7135	16.3698	8.8073	17.474	5.1719	16.0469	2.026	13.901	4.6823	13.7344	8.099	13.1823	4.2448	10.5885	2.3177	9.7135	5.4115	11.2969	8.5469	9.0156	5.9219	6.026	5.349	6.6823	8.2552	9.9948	10.6094	12.776	12.1302	11.1615	15.8802
49_197.txt	F2	197	17.3438	17.2917	17.224	12.8073	22.2552	10.0156	22.8802	7.526	20.5781	7.4635	18.151	9.6198	19.2969	7.6406	18.5156	4.7552	16.5781	6.6302	16.0469	8.9427	15.5573	6.2031	13.9531	4.3594	12.9323	6.6615	13.8177	9.3802	12.4635	6.7344	9.7448	6.1615	9.974	8.6406	11.9635	10.5469	9.474	9.2031	7.276	10.0885	8.9427	12.099	10.7969	12.4948	13.9635	13.1615	12.8281	16.8281
49_198.txt	F2	198	17.6042	17.2917	17.5469	13.3385	23.4844	11.901	25.3385	8.8177	21.9219	8.6198	19.5052	10.3073	21.2031	7.6094	20.724	4.2031	17.9948	6.0781	16.8281	9.3906	17.2865	6.1615	15.6406	3.224	13.8906	6.1615	14.2865	9.276	13.151	6.0469	10.6823	4.9219	10.1823	7.651	11.901	10.3177	9.6823	8.3385	6.1823	8.1302	8.3698	11.5573	10.599	12.474	13.2865	13.6615	12.9323	17.3385
49_199.txt	F2	199	12.7865	15.276	13.276	11.4531	7.5885	8.3177	6.599	5.7656	9.151	5.9427	11.401	8.1406	9.9844	5.5365	10.3802	3.0469	12.5052	4.5052	13.526	7.5052	13.4219	4.6406	15.099	2.4844	16.3177	4.724	15.7865	7.5469	16.9844	4.724	19.4115	3.5573	19.5781	6.3073	17.6771	8.8281	19.8073	7.2552	23.1094	7.3594	21.1719	9.9635	18.974	10.7448	15.7969	11.776	16.849	14.974
49_200.txt	F2	200	10.5938	14.3646	11.9531	11.6927	7.6719	7.7031	7.3073	5.2552	9.7344	6.2135	11.2552	8.6198	10.4635	5.7969	11.5677	3.3073	13.526	5.4219	13.5573	8.4115	13.9427	5.2552	16.0156	3.4219	16.9219	6.151	15.5781	9.0365	17.0052	6.3906	19.4427	5.5156	19.4844	8.0052	17.3073	10.3177	19.724	8.9115	22.2865	9.4948	20.8698	11.5469	17.7526	12.2786	15.276	12.3698	15.1615	15.276
